@RELATION allFeatures

@ATTRIBUTE BPM1 real
@ATTRIBUTE BPM2 real
@ATTRIBUTE BPM1pow real
@ATTRIBUTE stdSC real
@ATTRIBUTE meanSC real
@ATTRIBUTE medSC real
@ATTRIBUTE maxSC real
@ATTRIBUTE stdSF real
@ATTRIBUTE meanSF real
@ATTRIBUTE medSF real
@ATTRIBUTE maxSF real
@ATTRIBUTE stdSR real
@ATTRIBUTE meanSR real
@ATTRIBUTE medSR real
@ATTRIBUTE maxSR real
@ATTRIBUTE stdSTE real
@ATTRIBUTE meanSTE real
@ATTRIBUTE medSTE real
@ATTRIBUTE maxSTE real
@ATTRIBUTE stdZSR real
@ATTRIBUTE meanZSR real
@ATTRIBUTE medZSR real
@ATTRIBUTE maxZSR real
@ATTRIBUTE stdMFCC_1 real
@ATTRIBUTE meanMFCC_1 real
@ATTRIBUTE medianMFCC_1 real
@ATTRIBUTE maxMFCC_1 real
@ATTRIBUTE stdMFCC_2 real
@ATTRIBUTE meanMFCC_2 real
@ATTRIBUTE medianMFCC_2 real
@ATTRIBUTE maxMFCC_2 real
@ATTRIBUTE stdMFCC_3 real
@ATTRIBUTE meanMFCC_3 real
@ATTRIBUTE medianMFCC_3 real
@ATTRIBUTE maxMFCC_3 real
@ATTRIBUTE stdMFCC_4 real
@ATTRIBUTE meanMFCC_4 real
@ATTRIBUTE medianMFCC_4 real
@ATTRIBUTE maxMFCC_4 real
@ATTRIBUTE stdMFCC_5 real
@ATTRIBUTE meanMFCC_5 real
@ATTRIBUTE medianMFCC_5 real
@ATTRIBUTE maxMFCC_5 real
@ATTRIBUTE meanPower real
@ATTRIBUTE medPower real
@ATTRIBUTE maxPower real
@ATTRIBUTE freqpow_20-26Hz real
@ATTRIBUTE freqpow_26-34Hz real
@ATTRIBUTE freqpow_34-44Hz real
@ATTRIBUTE freqpow_44-57Hz real
@ATTRIBUTE freqpow_57-74Hz real
@ATTRIBUTE freqpow_74-97Hz real
@ATTRIBUTE freqpow_97-126Hz real
@ATTRIBUTE freqpow_126-164Hz real
@ATTRIBUTE freqpow_164-213Hz real
@ATTRIBUTE freqpow_213-277Hz real
@ATTRIBUTE freqpow_277-361Hz real
@ATTRIBUTE freqpow_361-470Hz real
@ATTRIBUTE freqpow_470-611Hz real
@ATTRIBUTE freqpow_611-795Hz real
@ATTRIBUTE freqpow_795-1034Hz real
@ATTRIBUTE freqpow_1034-1345Hz real
@ATTRIBUTE freqpow_1345-1749Hz real
@ATTRIBUTE freqpow_1749-2275Hz real
@ATTRIBUTE freqpow_2275-2960Hz real
@ATTRIBUTE freqpow_2960-3850Hz real
@ATTRIBUTE freqpow_3850-5009Hz real
@ATTRIBUTE freqpow_5009-6515Hz real
@ATTRIBUTE freqpow_6515-8475Hz real
@ATTRIBUTE freqpow_8475-11025Hz real
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA
61.983471, 123.966942, 0.014923, 212.928911, 1815.180536, 1759.013358, 2358.101993, 356473.747705, 678856.036754, 627966.157133, 2783066.434065, 644.622236, 3838.000000, 3596.000000, 5415.000000, 0.003108, 0.007920, 0.007221, 0.020564, 326.961028, 1831.372881, 1712.000000, 2665.000000, 0.365517, 6.117888, 6.155138, 6.999628, 0.101292, 0.113570, 0.120340, 0.352899, 0.159141, -0.294518, -0.283922, 0.087116, 0.151978, -0.073433, -0.061408, 0.358127, 0.170893, -0.194057, -0.179936, 0.417103, 13112.606271, 210.026138, 5796519.390456, 48644420.944244, 102840281.345382, 113819059.675660, 83549465.228159, 58705058.409201, 76043590.539241, 307108299.525161, 174951145.209842, 371420955.276610, 248818751.119925, 152340676.296487, 875120967.437302, 437166125.933731, 460636084.649887, 189530807.137421, 193622759.589306, 129515326.237689, 122789327.321198, 93269309.669669, 37084859.236584, 17114604.582895, 11224658.327017, 10940815.522690, 1586486.036864, ?
74.257426, 148.514851, 0.084178, 257.581026, 1307.813712, 1280.622172, 2057.117096, 9569.838940, 13744.781048, 10869.000250, 40247.976751, 471.373860, 2351.830508, 2286.000000, 3910.000000, 0.000090, 0.000125, 0.000100, 0.000392, 357.356399, 1328.915254, 1349.000000, 2158.000000, 0.410196, 4.517737, 4.564705, 5.438472, 0.108968, 0.348560, 0.346492, 0.656281, 0.115514, -0.454964, -0.460142, -0.047739, 0.102122, -0.093521, -0.095567, 0.268925, 0.130072, -0.251344, -0.255623, 0.230218, 214.495985, 0.261685, 295535.538638, 6232.800131, 22351.001763, 311361.274151, 6121059.327767, 3075803.501267, 748261.849433, 466707.594382, 1875835.970744, 3559712.256785, 9370099.589886, 13242358.024676, 5323247.109442, 4597292.225258, 5000839.721208, 4436591.309604, 7856703.734472, 2699716.946874, 1159097.446128, 656813.299280, 245741.838878, 51897.952937, 14290.665200, 7455.169270, 4565.321658, ?
110.294118, 220.588235, 0.990649, 411.728282, 1254.120093, 1209.070484, 2410.859880, 288107.788404, 382467.119522, 317926.649420, 1368108.742208, 670.116732, 2215.338983, 2252.000000, 3799.000000, 0.001771, 0.002959, 0.002794, 0.008473, 636.863908, 1277.016949, 1144.000000, 3339.000000, 0.644774, 5.493137, 5.627877, 6.660468, 0.219255, 0.439346, 0.469876, 0.958940, 0.153269, -0.496425, -0.525969, 0.015811, 0.147980, -0.020197, 0.004009, 0.323741, 0.141042, -0.202972, -0.175684, 0.127299, 4992.842102, 4.913051, 7447171.970796, 5739.740442, 4701.876188, 26856.040112, 242367.952040, 2207434.628936, 37534187.171233, 61362745.462741, 116847857.137384, 170582784.240107, 288347144.639789, 138927887.116473, 87055660.245111, 217555950.796017, 80722931.663641, 106314072.862109, 87896331.076058, 85045179.725769, 132446042.041714, 20108799.618709, 12624019.414926, 3231076.304718, 398868.287691, 88827.941564, 5007.742094, ?
117.187500, 234.375000, 0.986957, 194.635484, 2423.575977, 2406.070273, 2864.561746, 141981.814465, 489786.576501, 446747.259140, 897405.670185, 607.729609, 4412.779661, 4300.000000, 5627.000000, 0.000676, 0.003921, 0.003880, 0.005669, 457.469132, 3032.576271, 3087.000000, 3711.000000, 0.222854, 6.195419, 6.198746, 6.886867, 0.085834, -0.050113, -0.049536, 0.228531, 0.136794, -0.417286, -0.420554, -0.021344, 0.139259, 0.131534, 0.118242, 0.587271, 0.126353, -0.143724, -0.134794, 0.203500, 6546.869714, 326.693752, 6438163.981397, 912354.676014, 6102301.127106, 56979572.728565, 55005154.090944, 24480078.685762, 103059667.385792, 95890207.371548, 300696403.093894, 299997839.316154, 98634655.041313, 38084416.234094, 73584755.220347, 41739773.664673, 41184086.933062, 97252890.854920, 132267264.104886, 115713653.421434, 144305722.831710, 235896856.089315, 131532863.937526, 38878038.664349, 19085286.267127, 11882024.921462, 872623.440468, ?

